Año,Mes,Día,Hora,Minuto,Segundo,pm25,calidad_pm25,calidad
2022,01,01,00,00,00,29.3914,1,1,
2022,01,01,01,00,00,83.1567,1,1,
2022,01,01,02,00,00,47.6747,1,1,
2022,01,01,03,00,00,48.8677,1,1,
2022,01,01,04,00,00,37.7959,1,1,
2022,01,01,05,00,00,41.4692,1,1,
2022,01,01,06,00,00,41.4793,1,1,
2022,01,01,07,00,00,28.0264,1,1,
2022,01,01,08,00,00,20.7149,1,1,
2022,01,01,09,00,00,14.6854,1,1,
2022,01,01,10,00,00,11.1283,1,1,
2022,01,01,11,00,00,9.9939,1,1,
2022,01,01,12,00,00,17.5413,1,1,
2022,01,01,13,00,00,10.0549,1,1,
2022,01,01,14,00,00,8.8398,1,1,
2022,01,01,15,00,00,16.3855,1,1,
2022,01,01,16,00,00,11.2929,1,1,
2022,01,01,17,00,00,8.7209,1,1,
2022,01,01,18,00,00,12.3809,1,1,
2022,01,01,19,00,00,12.3563,1,1,
2022,01,01,20,00,00,8.6304,1,1,
2022,01,01,21,00,00,17.2208,1,1,
2022,01,01,22,00,00,13.5054,1,1,
2022,01,01,23,00,00,11.0373,1,1,
2022,01,02,00,00,00,11.0150,1,1,
2022,01,02,01,00,00,13.4590,1,1,
2022,01,02,02,00,00,12.2505,1,1,
2022,01,02,03,00,00,11.0208,1,1,
2022,01,02,04,00,00,4.8903,1,1,
2022,01,02,05,00,00,6.1036,1,1,
2022,01,02,06,00,00,10.9610,1,1,
2022,01,02,07,00,00,19.4636,1,1,
2022,01,02,08,00,00,20.6777,1,1,
2022,01,02,09,00,00,9.7541,1,1,
2022,01,02,10,00,00,13.4654,1,1,
2022,01,02,11,00,00,12.2966,1,1,
2022,01,02,12,00,00,14.8552,1,1,
2022,01,02,13,00,00,12.4521,1,1,
2022,01,02,14,00,00,22.6128,1,1,
2022,01,02,15,00,00,3.7527,1,1,
2022,01,02,16,00,00,11.2575,1,1,
2022,01,02,17,00,00,16.0253,1,1,
2022,01,02,18,00,00,18.3033,1,1,
2022,01,02,19,00,00,17.0517,1,1,
2022,01,02,20,00,00,15.8056,1,1,
2022,01,02,21,00,00,23.0979,1,1,
2022,01,02,22,00,00,30.3753,1,1,
2022,01,02,23,00,00,35.1736,1,1,
2022,01,03,00,00,00,26.7019,1,1,
2022,01,03,01,00,00,42.4685,1,1,
2022,01,03,02,00,00,30.2954,1,1,
2022,01,03,03,00,00,41.1842,1,1,
2022,01,03,04,00,00,32.7315,1,1,
2022,01,03,05,00,00,27.8704,1,1,
2022,01,03,06,00,00,32.6575,1,1,
2022,01,03,07,00,00,44.7378,1,1,
2022,01,03,08,00,00,43.7551,1,1,
2022,01,03,09,00,00,29.4796,1,1,
2022,01,03,10,00,00,27.2508,1,1,
2022,01,03,11,00,00,12.4538,1,1,
2022,01,03,12,00,00,12.5391,1,1,
2022,01,03,13,00,00,11.3277,1,1,
2022,01,03,14,00,00,5.0458,1,1,
2022,01,03,15,00,00,6.2839,1,1,
2022,01,03,16,00,00,6.3057,1,1,
2022,01,03,17,00,00,7.5158,1,1,
2022,01,03,18,00,00,12.4356,1,1,
2022,01,03,19,00,00,8.6518,1,1,
2022,01,03,20,00,00,-999.0000,151,1,
2022,01,03,21,00,00,-999.0000,151,1,
2022,01,03,22,00,00,-999.0000,151,1,
2022,01,03,23,00,00,-999.0000,151,1,
2022,01,04,00,00,00,-999.0000,151,1,
2022,01,04,01,00,00,-999.0000,151,1,
2022,01,04,02,00,00,-999.0000,151,1,
2022,01,04,03,00,00,-999.0000,151,1,
2022,01,04,04,00,00,-999.0000,151,1,
2022,01,04,05,00,00,-999.0000,151,1,
2022,01,04,06,00,00,-999.0000,151,1,
2022,01,04,07,00,00,-999.0000,151,1,
2022,01,04,08,00,00,-999.0000,151,1,
2022,01,04,09,00,00,-999.0000,151,1,
2022,01,04,10,00,00,19.7678,1,1,
2022,01,04,11,00,00,11.2177,1,1,
2022,01,04,12,00,00,10.0200,1,1,
2022,01,04,13,00,00,13.8528,1,1,
2022,01,04,14,00,00,8.8504,1,1,
2022,01,04,15,00,00,12.6779,1,1,
2022,01,04,16,00,00,6.3324,1,1,
2022,01,04,17,00,00,8.8167,1,1,
2022,01,04,18,00,00,14.9611,1,1,
2022,01,04,19,00,00,8.6644,1,1,
2022,01,04,20,00,00,6.1589,1,1,
2022,01,04,21,00,00,9.8299,1,1,
2022,01,04,22,00,00,13.4850,1,1,
2022,01,04,23,00,00,12.2298,1,1,
2022,01,05,00,00,00,13.4156,1,1,
2022,01,05,01,00,00,31.6294,1,1,
2022,01,05,02,00,00,34.0701,1,1,
2022,01,05,03,00,00,43.7223,1,1,
2022,01,05,04,00,00,29.1480,1,1,
2022,01,05,05,00,00,42.4452,1,1,
2022,01,05,06,00,00,29.0710,1,1,
2022,01,05,07,00,00,29.0833,1,1,
2022,01,05,08,00,00,14.6369,1,1,
2022,01,05,09,00,00,22.0365,1,1,
2022,01,05,10,00,00,18.6383,1,1,
2022,01,05,11,00,00,14.9981,1,1,
2022,01,05,12,00,00,16.3206,1,1,
2022,01,05,13,00,00,16.4175,1,1,
2022,01,05,14,00,00,19.0056,1,1,
2022,01,05,15,00,00,17.8105,1,1,
2022,01,05,16,00,00,7.6097,1,1,
2022,01,05,17,00,00,3.7763,1,1,
2022,01,05,18,00,00,6.2508,1,1,
2022,01,05,19,00,00,8.7017,1,1,
2022,01,05,20,00,00,11.1375,1,1,
2022,01,05,21,00,00,14.7732,1,1,
2022,01,05,22,00,00,12.2662,1,1,
2022,01,05,23,00,00,13.4751,1,1,
2022,01,06,00,00,00,13.4628,1,1,
2022,01,06,01,00,00,15.9040,1,1,
2022,01,06,02,00,00,15.9030,1,1,
2022,01,06,03,00,00,18.3419,1,1,
2022,01,06,04,00,00,32.9290,1,1,
2022,01,06,05,00,00,45.0749,1,1,
2022,01,06,06,00,00,29.1733,1,1,
2022,01,06,07,00,00,36.4247,1,1,
2022,01,06,08,00,00,29.1133,1,1,
2022,01,06,09,00,00,17.0924,1,1,
2022,01,06,10,00,00,25.9243,1,1,
2022,01,06,11,00,00,30.9892,1,1,
2022,01,06,12,00,00,29.9452,1,1,
2022,01,06,13,00,00,28.8700,1,1,
2022,01,06,14,00,00,7.5213,1,1,
2022,01,06,15,00,00,13.6743,1,1,
2022,01,06,16,00,00,14.7142,1,1,
2022,01,06,17,00,00,13.4545,1,1,
2022,01,06,18,00,00,19.5504,1,1,
2022,01,06,19,00,00,20.7465,1,1,
2022,01,06,20,00,00,18.2758,1,1,
2022,01,06,21,00,00,19.4544,1,1,
2022,01,06,22,00,00,12.1309,1,1,
2022,01,06,23,00,00,15.7733,1,1,
2022,01,07,00,00,00,14.5632,1,1,
2022,01,07,01,00,00,15.7763,1,1,
2022,01,07,02,00,00,9.7110,1,1,
2022,01,07,03,00,00,7.2838,1,1,
2022,01,07,04,00,00,12.1273,1,1,
2022,01,07,05,00,00,9.6908,1,1,
2022,01,07,06,00,00,24.2008,1,1,
2022,01,07,07,00,00,19.3602,1,1,
2022,01,07,08,00,00,33.8461,1,1,
2022,01,07,09,00,00,21.8325,1,1,
2022,01,07,10,00,00,26.7803,1,1,
2022,01,07,11,00,00,23.2860,1,1,
2022,01,07,12,00,00,19.8151,1,1,
2022,01,07,13,00,00,14.9507,1,1,
2022,01,07,14,00,00,11.2050,1,1,
2022,01,07,15,00,00,11.1027,1,1,
2022,01,07,16,00,00,9.8057,1,1,
2022,01,07,17,00,00,13.4370,1,1,
2022,01,07,18,00,00,18.2679,1,1,
2022,01,07,19,00,00,18.2443,1,1,
2022,01,07,20,00,00,32.7837,1,1,
2022,01,07,21,00,00,50.9567,1,1,
2022,01,07,22,00,00,25.4862,1,1,
2022,01,07,23,00,00,30.3287,1,1,
2022,01,08,00,00,00,23.0213,1,1,
2022,01,08,01,00,00,29.0932,1,1,
2022,01,08,02,00,00,41.1576,1,1,
2022,01,08,03,00,00,37.5512,1,1,
2022,01,08,04,00,00,44.8179,1,1,
2022,01,08,05,00,00,35.0448,1,1,
